rID,flood,coords_x,coords_y,aspect,dem,land,plan,pre,riverdis,roaddis,slope,soil,twi,Target_Ris
199,1,242572,3794900,-1,1495,10,1,403,0,3562,0,12,11,5
200,1,237565,3797540,270,1479,10,8,404,0,531,0,10,12,5
201,1,235653,3801460,251,1475,10,0,403,1660,2655,0,11,5,5
202,1,237565,3806920,315,1503,10,0,399,0,1914,1,11,4,5
203,1,252494,3825030,198,1659,10,0,380,3228,1187,2,12,11,5
204,1,236291,3833500,0,1541,10,-1,385,553,1187,1,8,4,5
205,1,229372,3834320,8,1505,10,0,389,553,751,1,7,5,5
206,1,231466,3832130,-1,1497,10,0,389,553,2707,0,7,0,5
207,1,233651,3828400,-1,1494,10,0,390,0,3717,0,8,0,5
208,1,218358,3824670,225,1507,2,0,401,553,531,0,11,3,5
209,1,228189,3819300,-1,1455,10,1,398,0,4808,0,7,4,5
210,1,216902,3811650,171,1414,5,0,407,553,1062,1,7,10,5
211,1,220998,3814470,251,1515,9,0,404,1660,1062,2,3,11,5
212,1,223638,3817110,90,1452,10,2,401,1107,3186,0,3,12,5
213,1,232467,3825670,288,1479,10,0,392,0,531,1,7,7,5
214,1,261505,3811830,201,1752,10,8,383,553,11791,2,2,9,3
215,1,257864,3822670,-1,1663,10,0,378,0,2189,0,8,0,5
216,1,251219,3821300,135,1626,10,-4,382,0,531,1,8,1,5
217,1,247305,3815840,315,1580,10,0,389,782,531,1,8,10,5
218,1,262416,3808280,135,1687,10,0,386,553,14649,1,2,5,3
219,1,251765,3807560,43,2491,6,0,391,2282,9878,21,8,0,2
220,1,171641,3835790,225,1360,5,0,427,1107,531,0,11,1,5
221,1,168783,3841950,203,1481,5,0,427,553,751,1,7,6,5
222,1,165926,3835920,341,1371,5,0,431,1565,531,0,7,10,5
223,1,151257,3834590,135,1596,10,-7,442,1237,3866,1,7,9,5
224,1,152908,3825820,86,2315,8,0,442,1750,11352,9,9,0,1
225,1,159639,3830270,93,2111,8,0,436,1750,7434,7,9,3,1
226,1,170498,3820170,49,1592,6,0,431,1237,751,22,2,6,3
227,1,170752,3809190,123,1318,19,0,433,553,0,3,7,12,4
228,1,175705,3813950,198,1284,10,0,429,553,751,1,3,2,5
229,1,158877,3826840,223,2287,8,0,437,1750,8496,15,9,13,1
230,1,162751,3816620,93,2670,6,0,436,1660,8758,49,9,12,2
231,1,179006,3817400,315,1282,10,0,426,2282,1062,0,10,10,5
232,1,183132,3816750,225,1286,10,4,424,553,531,0,7,11,5
233,1,208237,3841770,333,1998,3,0,399,553,7659,2,2,13,3
234,1,206022,3840420,341,1944,3,0,401,0,6903,3,2,5,3
235,1,197075,3841290,85,1794,5,-1,407,553,0,6,7,3,5
236,1,199029,3844640,90,1814,5,1,404,553,751,1,7,9,5
237,1,190733,3827480,251,1629,2,0,416,553,3755,0,9,10,5
238,1,197379,3824440,113,1622,10,0,413,0,1062,1,9,10,5
239,1,176444,3843990,269,2207,6,-8,421,1750,4896,16,9,10,1
240,1,183480,3843330,45,1918,3,-7,416,1565,1187,4,6,15,4
241,1,176965,3832000,-1,1357,2,0,423,553,2374,0,11,11,5
242,1,222440,3843640,113,1539,10,-7,389,0,3096,1,8,12,5
243,1,222962,3837510,315,1513,10,0,392,0,1679,1,2,10,5
244,1,225046,3839690,251,1508,10,0,389,1660,4044,0,12,11,5
245,1,209497,3836990,116,2365,6,0,400,553,9921,22,2,11,1
246,1,213449,3835300,218,1923,9,0,399,1996,5415,27,2,3,1
247,1,222831,3820360,-1,1452,10,6,400,553,2374,0,3,5,5
248,1,225654,3830220,108,1608,10,0,393,5779,2124,4,7,0,3
249,1,215838,3838510,95,1564,10,0,396,553,4281,2,2,7,5
250,1,196293,3834340,333,1754,2,0,410,0,0,2,7,10,5
251,1,178138,3824440,148,1938,9,0,425,3992,5645,42,9,6,1
252,1,181221,3826310,27,1487,6,0,422,3131,2189,14,7,15,3
253,1,174706,3826570,81,2400,8,0,427,3713,4749,14,9,0,1
254,1,176661,3825400,41,2376,8,4,425,3992,6055,10,9,0,1
255,1,179354,3823440,180,1421,9,0,424,4323,5645,2,9,7,3
256,1,181352,3821790,209,1423,10,0,424,4565,4379,4,9,9,3
257,1,178702,3827650,23,1591,6,0,423,1107,3096,16,7,10,3
258,1,182394,3825570,47,1553,6,0,422,2768,2253,19,7,6,3
259,1,208628,3828740,92,1703,10,0,404,0,10256,5,2,11,3
260,1,187302,3837080,45,1916,3,2,415,0,6903,0,7,10,3
261,1,188301,3838430,235,1990,3,0,414,553,6372,5,6,7,3
262,1,203677,3833560,32,2752,8,0,405,1107,6903,25,2,13,1
263,1,188475,3844640,330,2450,6,0,412,782,5310,24,9,12,1
264,1,192992,3844160,166,2755,9,-3,409,4428,4568,33,2,5,1
265,1,187476,3842290,246,2416,9,0,413,782,5544,46,9,12,1
266,1,189952,3844120,206,2836,8,0,411,1107,6394,12,9,10,1
267,1,189170,3841210,299,2430,9,0,412,1107,5937,23,9,0,1
268,1,191341,3843380,108,2964,8,0,410,2822,5257,38,9,10,1
269,1,198552,3830830,235,2382,6,0,410,2348,2189,20,9,3,1
270,1,208541,3831040,170,2054,6,0,403,1237,9617,39,2,7,1
271,1,204589,3836040,164,2700,6,0,403,782,8123,24,9,14,1
272,1,201809,3831170,349,2917,8,0,407,2768,5415,51,9,11,1
273,1,202330,3836170,191,2629,6,0,405,782,6055,20,9,3,1
274,1,206978,3834820,212,2764,8,0,403,553,10634,18,2,3,1
275,1,203286,3832170,321,3026,8,0,406,2768,6903,18,2,11,1
276,1,211669,3828130,173,1769,10,0,403,0,8088,12,11,6,2
277,1,185217,3832300,291,1655,6,0,418,553,4749,26,9,11,2
278,1,187736,3832390,317,1762,6,0,416,1107,5937,24,9,4,2
279,1,194556,3840030,66,2277,9,0,409,1237,531,28,2,12,2
280,1,205501,3826050,253,1875,10,0,407,2768,8563,8,2,13,2
281,1,193817,3831690,311,2146,21,0,413,1237,1679,21,7,0,2
282,1,197987,3839030,14,2271,9,0,407,1107,2253,34,7,13,2
283,1,298591,3770290,17,2190,3,0,402,1107,7223,8,9,15,2
284,1,325716,3771980,320,2098,3,7,381,553,0,3,2,0,4
285,1,325645,3774640,355,2096,5,0,379,1565,1502,3,2,4,4
286,1,324139,3771690,315,2108,3,0,383,1565,1187,2,2,9,4
287,1,296944,3774010,321,2293,8,0,398,782,7965,22,4,11,1
288,1,300694,3770540,56,2109,2,0,399,0,5038,6,6,12,3
289,1,309980,3765490,203,1967,6,0,397,0,2655,1,6,10,4
290,1,309525,3758870,54,2103,3,0,402,1565,7510,4,6,12,2
291,1,306896,3757990,50,2272,8,0,405,2475,8645,23,9,5,1
292,1,313240,3762480,180,2098,6,0,396,553,7144,14,2,10,1
293,1,323648,3756700,238,2502,6,0,392,1107,3358,19,9,13,1
294,1,320284,3756100,161,2161,4,0,395,553,751,0,2,11,4
295,1,313940,3755400,344,2064,3,-3,401,553,1914,3,2,0,4
296,1,320494,3757780,120,2171,2,0,394,0,0,2,6,0,4
297,1,316814,3765280,205,2211,6,0,391,0,7144,6,6,0,3
298,1,321826,3766680,324,2457,6,0,388,2282,5038,26,6,4,1
299,1,314536,3769840,323,2400,6,0,390,782,6394,27,9,12,1
300,1,318952,3767170,17,2476,6,0,389,2348,6924,17,9,13,1
301,1,316744,3768580,272,2380,6,0,389,782,8496,19,9,12,1
302,1,313976,3772220,149,2373,6,0,388,782,6654,19,9,12,1
303,1,315658,3771910,257,2404,6,-7,388,1660,7894,18,9,13,1
304,1,302901,3766540,123,2156,2,0,402,553,4896,5,9,10,3
305,1,305354,3772010,225,1868,5,0,395,553,531,1,9,11,5
306,1,304373,3775800,204,1835,5,-6,391,0,531,2,4,13,5
307,1,304934,3773870,270,1860,5,0,392,0,0,0,4,10,5
308,1,306896,3763670,135,2115,5,0,401,2475,3358,10,6,10,2
309,1,307632,3756560,135,2211,4,0,406,1660,7223,3,9,13,2
310,1,314431,3760380,350,2280,2,0,397,1237,5719,31,2,4,1
311,1,313099,3758270,299,2053,6,0,399,553,5230,6,2,11,3
312,1,309805,3756100,90,2085,3,-8,404,0,5257,3,6,13,3
313,1,308999,3761220,66,2038,3,0,401,782,5937,5,6,3,3
314,1,310611,3760940,239,1976,2,0,399,0,6416,1,2,4,4
315,1,314711,3765910,247,2291,6,0,393,1107,6460,15,9,13,1
316,1,306826,3766120,55,1986,3,0,398,782,1502,7,6,8,4
317,1,305775,3768020,18,1981,3,0,398,782,1593,2,9,12,4
318,1,305695,3789660,206,1808,5,0,376,0,0,2,2,0,5
319,1,305780,3792620,212,2212,9,0,373,2282,2124,33,2,7,1
320,1,308517,3790790,180,1847,9,0,374,0,0,3,2,9,4
321,1,308791,3791170,128,1872,9,0,373,553,0,20,2,8,3
322,1,306201,3791760,207,2025,9,0,374,2214,1593,16,2,15,2
323,1,306580,3792650,148,2353,9,0,373,1237,1914,38,2,2,2
324,1,322605,3791170,204,2062,5,0,370,553,0,2,12,3,4
325,1,320373,3788710,339,2285,9,0,372,1660,2124,17,8,5,2
326,1,312244,3792140,-1,1887,1,0,372,0,531,0,8,0,5
327,1,311781,3791170,246,1865,5,4,373,0,1502,1,8,0,5
328,1,313129,3781190,180,1909,5,0,381,553,751,1,2,3,5
329,1,305843,3781970,315,1817,5,0,383,553,1062,0,2,10,5
330,1,305127,3784830,225,1799,9,1,380,0,531,1,2,0,5
331,1,305674,3786330,243,1816,9,-8,379,1237,531,4,2,10,5
332,1,306411,3788940,288,1809,5,0,376,553,1187,0,6,1,5
333,1,307380,3790030,180,1827,5,3,375,553,531,0,2,5,5
334,1,310202,3791420,153,1848,5,-9,373,0,531,1,2,6,5
335,1,319846,3783780,209,2121,9,-9,376,553,3562,11,8,6,3
336,1,315571,3783530,190,2176,9,0,377,2768,1593,4,2,12,3
337,1,310117,3787870,259,2365,9,0,376,2282,3562,23,2,0,2
338,1,320752,3785570,187,2356,9,0,374,1750,5010,34,8,11,1
339,1,312455,3785630,164,2291,9,0,377,1237,3096,12,8,7,2
340,1,309612,3787800,282,2171,9,0,376,2214,3358,12,2,-3,3
341,1,310728,3789680,27,2033,9,0,375,1107,2124,21,8,13,2
342,1,325174,3790100,356,2149,3,0,370,1565,1593,19,8,12,2
343,1,324353,3779910,194,2221,3,-6,377,0,3755,4,2,13,3
344,1,319320,3780390,203,2114,9,0,378,1107,0,10,2,14,3
345,1,309296,3789230,297,1970,9,0,375,1660,1679,16,2,3,3
346,1,309170,3785700,171,2094,9,0,379,0,1679,7,6,13,3
347,1,308559,3781400,180,1840,5,6,383,0,1914,1,6,0,5
348,1,316224,3780640,225,1949,5,0,379,553,531,1,2,12,5
349,1,326037,3791190,234,2132,3,0,369,2981,2859,6,12,0,4
350,1,307338,3787630,287,1889,9,0,377,1660,1914,7,9,11,4
351,1,315382,3785820,318,2475,11,7,376,1565,3717,27,8,2,2
352,1,314266,3791850,198,1913,6,8,371,0,0,3,12,15,4
353,1,314034,3787930,26,2047,9,0,375,782,4248,6,11,2,4
354,1,319172,3782390,239,2034,3,0,378,0,1914,2,2,16,4
355,1,312665,3783110,209,2017,9,0,380,1750,531,4,2,12,4
356,1,314687,3782450,221,2028,9,0,379,1996,531,5,2,0,4
357,1,308791,3789530,311,1890,9,0,375,1107,1502,5,2,6,4
358,1,313655,3789570,18,1936,9,0,374,0,2655,3,11,10,4
359,1,321994,3789740,0,2035,5,1,371,0,1187,1,8,11,4
360,1,323236,3789780,307,2049,5,-8,370,0,531,2,8,10,4
361,1,320309,3790060,341,2013,3,0,371,553,1062,3,8,0,4
362,1,317277,3784830,11,2441,9,0,376,1107,3358,38,8,12,2
363,1,323615,3782790,107,2409,9,0,375,553,4896,18,8,12,1
364,1,322900,3784220,177,2396,9,0,375,553,5257,32,8,4,1
365,1,321910,3785570,272,2558,11,0,373,1660,4537,25,8,5,1
366,1,319636,3786350,258,2427,9,0,374,1565,4808,39,8,6,1
367,1,315361,3787490,323,2071,9,0,375,553,4896,4,8,14,3
368,1,317235,3787530,200,2338,9,0,374,1107,4281,33,8,6,1
369,1,313950,3785170,271,2408,9,0,377,2768,2707,44,8,6,1
370,1,314455,3786710,21,2319,9,0,375,1237,4379,22,8,12,2
371,1,321341,3782390,297,2253,9,0,376,1107,3004,17,8,6,2
372,1,315824,3789550,45,2143,9,0,373,1565,3096,22,11,10,2
373,1,317403,3789320,38,2219,3,0,373,1996,2655,24,12,3,2
374,1,323194,3787400,357,2331,9,0,372,1107,2707,19,8,13,2
375,1,313908,3784220,184,2188,9,-9,378,2822,1679,26,2,13,2
376,1,311626,3786100,185,2302,9,0,377,1237,3358,10,2,13,2
377,1,295935,3785270,2,2038,8,0,385,1660,7510,5,2,13,2
378,1,294714,3777870,86,2153,2,0,394,1565,9090,4,9,11,2
379,1,296880,3775250,149,2099,2,0,397,0,7732,6,4,6,2
380,1,295520,3772180,146,2233,3,0,401,0,9690,3,4,0,3
381,1,296765,3772670,171,2207,2,0,399,553,8036,4,4,4,2
382,1,308077,3778980,63,2095,6,0,385,1660,3562,23,9,12,1
383,1,309736,3774000,259,2204,6,0,390,553,4044,22,9,5,1
384,1,308216,3775660,4,2230,6,0,389,1237,2859,13,9,2,3
385,1,296696,3783660,99,2022,3,0,387,1996,8088,5,2,9,2
386,1,295613,3780310,83,2146,3,0,391,1107,8496,6,6,10,2
387,1,293815,3783150,206,2224,6,0,389,2348,6193,4,2,16,2
388,1,292663,3780570,225,2152,3,0,393,2214,6759,1,2,11,2
389,1,292456,3778190,15,2254,2,0,396,2475,8123,2,9,6,2
390,1,279701,3783970,108,2090,10,0,397,4030,5230,3,2,14,2
391,1,262293,3792130,286,2105,8,0,396,1996,2655,16,8,5,2
392,1,275148,3787360,278,2087,3,0,395,553,8396,5,2,6,2
393,1,277674,3786030,307,2196,3,0,395,1996,8088,2,6,13,2
394,1,274537,3782640,90,2051,10,0,399,553,9028,1,2,14,2
395,1,280451,3789660,281,2073,6,0,391,1750,7894,3,6,15,2
396,1,277036,3789500,306,2119,3,6,393,1750,7124,12,2,7,2
397,1,279423,3786410,329,2272,3,0,394,2348,6924,4,6,5,2
398,1,273843,3785110,346,2099,10,0,398,782,9043,5,2,10,2
399,1,204700,3805860,32,1546,8,0,416,782,9792,21,7,15,2
400,1,220629,3805890,356,1597,9,0,408,553,6924,23,2,3,2
401,1,216593,3806890,8,1743,9,0,409,553,5841,44,7,11,2
402,1,232491,3789750,1,1895,14,0,410,553,4281,14,8,5,2
403,1,227181,3790770,3,2143,15,0,412,1107,7894,11,11,11,2
404,1,208209,3805300,10,1647,6,0,414,553,9410,18,9,11,2
405,1,211780,3804400,67,1723,6,0,413,782,9499,24,9,5,2
406,1,210910,3801050,102,1744,2,0,415,0,12833,3,9,13,3
407,1,212867,3798840,243,1858,3,5,414,553,14170,4,9,3,2
408,1,220536,3802260,237,1622,6,0,409,0,10634,15,9,12,2
409,1,222430,3801760,98,1809,10,0,409,1996,11464,20,6,11,1
410,1,221530,3798410,252,1762,4,0,410,553,13939,33,6,4,2
411,1,224511,3795770,329,1906,3,-7,411,0,10215,4,11,13,2
412,1,224045,3800680,14,1743,6,0,408,553,11265,16,12,4,2
413,1,225970,3799780,128,1729,3,0,408,1237,10514,19,12,11,2
414,1,224573,3795930,237,1908,3,0,410,0,10215,3,11,14,2
